device_type,os_version_key,name,typed_value
Mac,"(15, 0)",supports-photos-extension-v2,
Mac,"(15, 0)",supports-protobuf-payload-data-v2,
Mac,"(15, 0)",supports-recurring-payment-bubbles,
Mac,"(15, 0)",supports-rem,
Mac,"(15, 0)",supports-remote-atv-signin,
Mac,"(15, 0)",supports-restricted-guest,
Mac,"(15, 0)",supports-sa-v1,
Mac,"(15, 0)",supports-screen-time-v2,
Mac,"(15, 0)",supports-secure-loc-v1,
Mac,"(15, 0)",supports-self-one-to-one-invites,
Mac,"(15, 0)",supports-send-later-messages,
Mac,"(15, 0)",supports-sender-key-v1,
Mac,"(15, 0)",supports-shared-exp,
Mac,"(15, 0)",supports-sos-alerting,
Mac,"(15, 0)",supports-ssrc,
Mac,"(15, 0)",supports-st-er,
Mac,"(15, 0)",supports-st-v1,
Mac,"(15, 0)",supports-stewie,False
Mac,"(15, 0)",supports-stick-moji-backs,
Mac,"(15, 0)",supports-sticker-editing,
Mac,"(15, 0)",supports-update-attachments-v1,
Mac,"(15, 0)",supports-uwb,False
Mac,"(15, 0)",supports-zelkova,True
Mac,"(15, 1)",device-key-signature,
Mac,"(15, 1)",ec-version,1.0
Mac,"(15, 1)",is-c2k-equipment,False
Mac,"(15, 1)",is-green-tea,
Mac,"(15, 1)",is-web-client,
Mac,"(15, 1)",kt-version,5.0
Mac,"(15, 1)",nicknames-version,
Mac,"(15, 1)",optionally-receive-typing-indicators,
Mac,"(15, 1)",prefers-sdr,
Mac,"(15, 1)",sender-key-message-version,
Mac,"(15, 1)",show-peer-errors,
Mac,"(15, 1)",supports-ack-v1,
Mac,"(15, 1)",supports-animoji-v2,True
Mac,"(15, 1)",supports-askto,
Mac,"(15, 1)",supports-audio-messaging-v2,
Mac,"(15, 1)",supports-autoloopvideo-v1,
Mac,"(15, 1)",supports-avless,
Mac,"(15, 1)",supports-be-v1,
Mac,"(15, 1)",supports-beacon-sharing-v2,
Mac,"(15, 1)",supports-beacon-sharing-v3,
Mac,"(15, 1)",supports-beneficiary-invites,
Mac,"(15, 1)",supports-ca-v1,
Mac,"(15, 1)",supports-certified-delivery-v1,
Mac,"(15, 1)",supports-co,
Mac,"(15, 1)",supports-cross-platform-sharing,
Mac,"(15, 1)",supports-dq-nr,
Mac,"(15, 1)",supports-emoji-images,
Mac,"(15, 1)",supports-emoji-stickers,
Mac,"(15, 1)",supports-emoji-tapbacks,
